"County","FullName","Party","No","Votes","VR"
"金門縣","金門縣金城鎮","和平鴿聯盟黨","4","9",7e-04
"金門縣","金門縣金城鎮","軍公教聯盟黨","5","142",0.0121
"金門縣","金門縣金城鎮","民國黨","6","183",0.0156
"金門縣","金門縣金城鎮","信心希望聯盟","7","111",0.0095
"金門縣","金門縣金城鎮","中華統一促進黨","8","287",0.0246
"金門縣","金門縣金城鎮","中國國民黨","9","6436",0.5518
"金門縣","金門縣金城鎮","台灣團結聯盟","10","111",0.0095
"金門縣","金門縣金城鎮","時代力量","11","286",0.0245
"金門縣","金門縣金城鎮","大愛憲改聯盟","12","9",7e-04
"金門縣","金門縣金城鎮","綠黨社會民主黨聯盟","13","407",0.0348
"金門縣","金門縣金城鎮","台灣獨立黨","14","10",8e-04
"金門縣","金門縣金城鎮","無黨團結聯盟","15","51",0.0043
"金門縣","金門縣金城鎮","新黨","16","1432",0.1227
"金門縣","金門縣金城鎮","健保免費連線","17","51",0.0043
"金門縣","金門縣金城鎮","樹黨","18","73",0.0062
"金門縣","金門縣金沙鎮","民主進步黨","1","429",0.08
"金門縣","金門縣金沙鎮","親民黨","2","381",0.071
"金門縣","金門縣金沙鎮","自由台灣黨","3","21",0.0039
"金門縣","金門縣金沙鎮","和平鴿聯盟黨","4","6",0.0011
"金門縣","金門縣金沙鎮","軍公教聯盟黨","5","55",0.0102
"金門縣","金門縣金沙鎮","民國黨","6","84",0.0156
"金門縣","金門縣金沙鎮","信心希望聯盟","7","37",0.0069
"金門縣","金門縣金沙鎮","中華統一促進黨","8","112",0.0208
"金門縣","金門縣金沙鎮","中國國民黨","9","3208",0.5986
"金門縣","金門縣金沙鎮","台灣團結聯盟","10","92",0.0171
"金門縣","金門縣金沙鎮","時代力量","11","143",0.0266
"金門縣","金門縣金沙鎮","大愛憲改聯盟","12","9",0.0016
"金門縣","金門縣金沙鎮","綠黨社會民主黨聯盟","13","119",0.0222
"金門縣","金門縣金沙鎮","台灣獨立黨","14","12",0.0022
"金門縣","金門縣金沙鎮","無黨團結聯盟","15","33",0.0061
"金門縣","金門縣金沙鎮","新黨","16","571",0.1065
"金門縣","金門縣金沙鎮","健保免費連線","17","19",0.0035
"金門縣","金門縣金沙鎮","樹黨","18","28",0.0052
"金門縣","金門縣金湖鎮","民主進步黨","1","897",0.1114
"金門縣","金門縣金湖鎮","親民黨","2","625",0.0776
"金門縣","金門縣金湖鎮","自由台灣黨","3","21",0.0026
"金門縣","金門縣金湖鎮","和平鴿聯盟黨","4","10",0.0012
"金門縣","金門縣金湖鎮","軍公教聯盟黨","5","136",0.0168
"金門縣","金門縣金湖鎮","民國黨","6","141",0.0175
"金門縣","金門縣金湖鎮","信心希望聯盟","7","86",0.0106
"金門縣","金門縣金湖鎮","中華統一促進黨","8","142",0.0176
"金門縣","金門縣金湖鎮","中國國民黨","9","4571",0.5676
"金門縣","金門縣金湖鎮","台灣團結聯盟","10","78",0.0096
"金門縣","金門縣金湖鎮","時代力量","11","197",0.0244
"金門縣","金門縣金湖鎮","大愛憲改聯盟","12","14",0.0017
"金門縣","金門縣金湖鎮","綠黨社會民主黨聯盟","13","154",0.0191
"金門縣","金門縣金湖鎮","台灣獨立黨","14","11",0.0013
"金門縣","金門縣金湖鎮","無黨團結聯盟","15","44",0.0054
"金門縣","金門縣金湖鎮","新黨","16","851",0.1056
"金門縣","金門縣金湖鎮","健保免費連線","17","24",0.0029
"金門縣","金門縣金湖鎮","樹黨","18","50",0.0062
"金門縣","金門縣金寧鄉","民主進步黨","1","1102",0.1376
"金門縣","金門縣金寧鄉","親民黨","2","513",0.0641
"金門縣","金門縣金寧鄉","自由台灣黨","3","21",0.0026
"金門縣","金門縣金寧鄉","和平鴿聯盟黨","4","28",0.0034
"金門縣","金門縣金寧鄉","軍公教聯盟黨","5","130",0.0162
"金門縣","金門縣金寧鄉","民國黨","6","139",0.0173
"金門縣","金門縣金寧鄉","信心希望聯盟","7","88",0.0109
"金門縣","金門縣金寧鄉","中華統一促進黨","8","148",0.0184
"金門縣","金門縣金寧鄉","中國國民黨","9","4098",0.512
"金門縣","金門縣金寧鄉","台灣團結聯盟","10","101",0.0126
"金門縣","金門縣金寧鄉","時代力量","11","323",0.0403
"金門縣","金門縣金寧鄉","大愛憲改聯盟","12","14",0.0017
"金門縣","金門縣金寧鄉","綠黨社會民主黨聯盟","13","384",0.0479
"金門縣","金門縣金寧鄉","台灣獨立黨","14","14",0.0017
"金門縣","金門縣金寧鄉","無黨團結聯盟","15","47",0.0058
"金門縣","金門縣金寧鄉","新黨","16","741",0.0925
"金門縣","金門縣金寧鄉","健保免費連線","17","35",0.0043
"金門縣","金門縣金寧鄉","樹黨","18","77",0.0096
"金門縣","金門縣烈嶼鄉","民主進步黨","1","229",0.0757
"金門縣","金門縣烈嶼鄉","親民黨","2","195",0.0645
"金門縣","金門縣烈嶼鄉","自由台灣黨","3","14",0.0046
"金門縣","金門縣烈嶼鄉","和平鴿聯盟黨","4","2",6e-04
"金門縣","金門縣烈嶼鄉","軍公教聯盟黨","5","30",0.0099
"金門縣","金門縣烈嶼鄉","民國黨","6","38",0.0125
"金門縣","金門縣烈嶼鄉","信心希望聯盟","7","23",0.0076
"金門縣","金門縣烈嶼鄉","中華統一促進黨","8","60",0.0198
"金門縣","金門縣烈嶼鄉","中國國民黨","9","1776",0.5876
"金門縣","金門縣烈嶼鄉","台灣團結聯盟","10","11",0.0036
"金門縣","金門縣烈嶼鄉","時代力量","11","57",0.0188
"金門縣","金門縣烈嶼鄉","大愛憲改聯盟","12","1",3e-04
"金門縣","金門縣烈嶼鄉","綠黨社會民主黨聯盟","13","77",0.0254
"金門縣","金門縣烈嶼鄉","台灣獨立黨","14","6",0.0019
"金門縣","金門縣烈嶼鄉","無黨團結聯盟","15","9",0.0029
"金門縣","金門縣烈嶼鄉","新黨","16","463",0.1532
"金門縣","金門縣烈嶼鄉","健保免費連線","17","9",0.0029
"金門縣","金門縣烈嶼鄉","樹黨","18","22",0.0072
"金門縣","金門縣烏坵鄉","民主進步黨","1","7",0.0875
"金門縣","金門縣烏坵鄉","親民黨","2","6",0.075
"金門縣","金門縣烏坵鄉","自由台灣黨","3","0",0
"金門縣","金門縣烏坵鄉","和平鴿聯盟黨","4","0",0
"金門縣","金門縣烏坵鄉","軍公教聯盟黨","5","1",0.0125
"金門縣","金門縣烏坵鄉","民國黨","6","4",0.05
"金門縣","金門縣烏坵鄉","信心希望聯盟","7","0",0
"金門縣","金門縣烏坵鄉","中華統一促進黨","8","0",0
"金門縣","金門縣烏坵鄉","中國國民黨","9","53",0.6625
"金門縣","金門縣烏坵鄉","台灣團結聯盟","10","0",0
"金門縣","金門縣烏坵鄉","時代力量","11","2",0.025
"金門縣","金門縣烏坵鄉","大愛憲改聯盟","12","0",0
"金門縣","金門縣烏坵鄉","綠黨社會民主黨聯盟","13","1",0.0125
"金門縣","金門縣烏坵鄉","台灣獨立黨","14","0",0
"金門縣","金門縣烏坵鄉","無黨團結聯盟","15","0",0
"金門縣","金門縣烏坵鄉","新黨","16","6",0.075
"金門縣","金門縣烏坵鄉","健保免費連線","17","0",0
"金門縣","金門縣烏坵鄉","樹黨","18","0",0
"宜蘭縣","宜蘭縣宜蘭市","民主進步黨","1","20796",0.442
"宜蘭縣","宜蘭縣宜蘭市","親民黨","2","2915",0.0619
"宜蘭縣","宜蘭縣宜蘭市","自由台灣黨","3","178",0.0037
"宜蘭縣","宜蘭縣宜蘭市","和平鴿聯盟黨","4","113",0.0024
"宜蘭縣","宜蘭縣宜蘭市","軍公教聯盟黨","5","490",0.0104
"宜蘭縣","宜蘭縣宜蘭市","民國黨","6","480",0.0102
"宜蘭縣","宜蘭縣宜蘭市","信心希望聯盟","7","733",0.0155
"宜蘭縣","宜蘭縣宜蘭市","中華統一促進黨","8","196",0.0041
"宜蘭縣","宜蘭縣宜蘭市","中國國民黨","9","12192",0.2591
"宜蘭縣","宜蘭縣宜蘭市","台灣團結聯盟","10","1454",0.0309
"宜蘭縣","宜蘭縣宜蘭市","時代力量","11","3142",0.0667
"宜蘭縣","宜蘭縣宜蘭市","大愛憲改聯盟","12","78",0.0016
"宜蘭縣","宜蘭縣宜蘭市","綠黨社會民主黨聯盟","13","1689",0.0359
"宜蘭縣","宜蘭縣宜蘭市","台灣獨立黨","14","103",0.0021
"宜蘭縣","宜蘭縣宜蘭市","無黨團結聯盟","15","188",0.0039
"宜蘭縣","宜蘭縣宜蘭市","新黨","16","1837",0.039
"宜蘭縣","宜蘭縣宜蘭市","健保免費連線","17","158",0.0033
"宜蘭縣","宜蘭縣宜蘭市","樹黨","18","303",0.0064
"宜蘭縣","宜蘭縣羅東鎮","民主進步黨","1","17608",0.4949
"宜蘭縣","宜蘭縣羅東鎮","親民黨","2","1901",0.0534
"宜蘭縣","宜蘭縣羅東鎮","自由台灣黨","3","97",0.0027
"宜蘭縣","宜蘭縣羅東鎮","和平鴿聯盟黨","4","76",0.0021
"宜蘭縣","宜蘭縣羅東鎮","軍公教聯盟黨","5","263",0.0073
"宜蘭縣","宜蘭縣羅東鎮","民國黨","6","344",0.0096
"宜蘭縣","宜蘭縣羅東鎮","信心希望聯盟","7","440",0.0123
"宜蘭縣","宜蘭縣羅東鎮","中華統一促進黨","8","122",0.0034
"宜蘭縣","宜蘭縣羅東鎮","中國國民黨","9","8177",0.2298
"宜蘭縣","宜蘭縣羅東鎮","台灣團結聯盟","10","1068",0.03
"宜蘭縣","宜蘭縣羅東鎮","時代力量","11","2477",0.0696
"宜蘭縣","宜蘭縣羅東鎮","大愛憲改聯盟","12","43",0.0012
"宜蘭縣","宜蘭縣羅東鎮","綠黨社會民主黨聯盟","13","1093",0.0307
"宜蘭縣","宜蘭縣羅東鎮","台灣獨立黨","14","112",0.0031
"宜蘭縣","宜蘭縣羅東鎮","無黨團結聯盟","15","357",0.01
"宜蘭縣","宜蘭縣羅東鎮","新黨","16","1085",0.0305
"宜蘭縣","宜蘭縣羅東鎮","健保免費連線","17","133",0.0037
"宜蘭縣","宜蘭縣羅東鎮","樹黨","18","177",0.0049
"宜蘭縣","宜蘭縣蘇澳鎮","民主進步黨","1","10657",0.5225
"宜蘭縣","宜蘭縣蘇澳鎮","親民黨","2","1350",0.0661
"宜蘭縣","宜蘭縣蘇澳鎮","自由台灣黨","3","105",0.0051
"宜蘭縣","宜蘭縣蘇澳鎮","和平鴿聯盟黨","4","85",0.0041
"宜蘭縣","宜蘭縣蘇澳鎮","軍公教聯盟黨","5","153",0.0075
"宜蘭縣","宜蘭縣蘇澳鎮","民國黨","6","222",0.0108
"宜蘭縣","宜蘭縣蘇澳鎮","信心希望聯盟","7","130",0.0063
"宜蘭縣","宜蘭縣蘇澳鎮","中華統一促進黨","8","90",0.0044
"宜蘭縣","宜蘭縣蘇澳鎮","中國國民黨","9","4518",0.2215
"宜蘭縣","宜蘭縣蘇澳鎮","台灣團結聯盟","10","570",0.0279
"宜蘭縣","宜蘭縣蘇澳鎮","時代力量","11","1104",0.0541
"宜蘭縣","宜蘭縣蘇澳鎮","大愛憲改聯盟","12","46",0.0022
"宜蘭縣","宜蘭縣蘇澳鎮","綠黨社會民主黨聯盟","13","400",0.0196
"宜蘭縣","宜蘭縣蘇澳鎮","台灣獨立黨","14","75",0.0036
"宜蘭縣","宜蘭縣蘇澳鎮","無黨團結聯盟","15","225",0.011
"宜蘭縣","宜蘭縣蘇澳鎮","新黨","16","463",0.0227
"宜蘭縣","宜蘭縣蘇澳鎮","健保免費連線","17","98",0.0048
"宜蘭縣","宜蘭縣蘇澳鎮","樹黨","18","102",0.005
"宜蘭縣","宜蘭縣頭城鎮","民主進步黨","1","5876",0.4224
"宜蘭縣","宜蘭縣頭城鎮","親民黨","2","1064",0.0764
"宜蘭縣","宜蘭縣頭城鎮","自由台灣黨","3","86",0.0061
"宜蘭縣","宜蘭縣頭城鎮","和平鴿聯盟黨","4","87",0.0062
"宜蘭縣","宜蘭縣頭城鎮","軍公教聯盟黨","5","84",0.006
"宜蘭縣","宜蘭縣頭城鎮","民國黨","6","252",0.0181
"宜蘭縣","宜蘭縣頭城鎮","信心希望聯盟","7","133",0.0095
"宜蘭縣","宜蘭縣頭城鎮","中華統一促進黨","8","155",0.0111
"宜蘭縣","宜蘭縣頭城鎮","中國國民黨","9","3997",0.2873
"宜蘭縣","宜蘭縣頭城鎮","台灣團結聯盟","10","404",0.029
"宜蘭縣","宜蘭縣頭城鎮","時代力量","11","812",0.0583
"宜蘭縣","宜蘭縣頭城鎮","大愛憲改聯盟","12","29",0.002
"宜蘭縣","宜蘭縣頭城鎮","綠黨社會民主黨聯盟","13","299",0.0214
"宜蘭縣","宜蘭縣頭城鎮","台灣獨立黨","14","53",0.0038
"宜蘭縣","宜蘭縣頭城鎮","無黨團結聯盟","15","96",0.0069
"宜蘭縣","宜蘭縣頭城鎮","新黨","16","330",0.0237
"宜蘭縣","宜蘭縣頭城鎮","健保免費連線","17","65",0.0046
"宜蘭縣","宜蘭縣頭城鎮","樹黨","18","87",0.0062
"宜蘭縣","宜蘭縣礁溪鄉","民主進步黨","1","9603",0.5143
"宜蘭縣","宜蘭縣礁溪鄉","親民黨","2","1057",0.0566
"宜蘭縣","宜蘭縣礁溪鄉","自由台灣黨","3","81",0.0043
"宜蘭縣","宜蘭縣礁溪鄉","和平鴿聯盟黨","4","71",0.0038
"宜蘭縣","宜蘭縣礁溪鄉","軍公教聯盟黨","5","123",0.0065
"宜蘭縣","宜蘭縣礁溪鄉","民國黨","6","379",0.0202
"宜蘭縣","宜蘭縣礁溪鄉","信心希望聯盟","7","172",0.0092
"宜蘭縣","宜蘭縣礁溪鄉","中華統一促進黨","8","76",0.004
"宜蘭縣","宜蘭縣礁溪鄉","中國國民黨","9","4399",0.2356
"宜蘭縣","宜蘭縣礁溪鄉","台灣團結聯盟","10","535",0.0286
"宜蘭縣","宜蘭縣礁溪鄉","時代力量","11","963",0.0515
"宜蘭縣","宜蘭縣礁溪鄉","大愛憲改聯盟","12","27",0.0014
"宜蘭縣","宜蘭縣礁溪鄉","綠黨社會民主黨聯盟","13","406",0.0217
"宜蘭縣","宜蘭縣礁溪鄉","台灣獨立黨","14","68",0.0036
"宜蘭縣","宜蘭縣礁溪鄉","無黨團結聯盟","15","92",0.0049
"宜蘭縣","宜蘭縣礁溪鄉","新黨","16","414",0.0221
"宜蘭縣","宜蘭縣礁溪鄉","健保免費連線","17","79",0.0042
"宜蘭縣","宜蘭縣礁溪鄉","樹黨","18","125",0.0066
"宜蘭縣","宜蘭縣壯圍鄉","民主進步黨","1","7035",0.5615
"宜蘭縣","宜蘭縣壯圍鄉","親民黨","2","620",0.0494
"宜蘭縣","宜蘭縣壯圍鄉","自由台灣黨","3","40",0.0031
"宜蘭縣","宜蘭縣壯圍鄉","和平鴿聯盟黨","4","50",0.0039
"宜蘭縣","宜蘭縣壯圍鄉","軍公教聯盟黨","5","80",0.0063
"宜蘭縣","宜蘭縣壯圍鄉","民國黨","6","170",0.0135
"宜蘭縣","宜蘭縣壯圍鄉","信心希望聯盟","7","110",0.0087
"宜蘭縣","宜蘭縣壯圍鄉","中華統一促進黨","8","45",0.0035
"宜蘭縣","宜蘭縣壯圍鄉","中國國民黨","9","2555",0.2039
"宜蘭縣","宜蘭縣壯圍鄉","台灣團結聯盟","10","347",0.0276
"宜蘭縣","宜蘭縣壯圍鄉","時代力量","11","677",0.054
"宜蘭縣","宜蘭縣壯圍鄉","大愛憲改聯盟","12","25",0.0019
"宜蘭縣","宜蘭縣壯圍鄉","綠黨社會民主黨聯盟","13","249",0.0198
"宜蘭縣","宜蘭縣壯圍鄉","台灣獨立黨","14","39",0.0031
"宜蘭縣","宜蘭縣壯圍鄉","無黨團結聯盟","15","82",0.0065
"宜蘭縣","宜蘭縣壯圍鄉","新黨","16","272",0.0217
"宜蘭縣","宜蘭縣壯圍鄉","健保免費連線","17","62",0.0049
"宜蘭縣","宜蘭縣壯圍鄉","樹黨","18","70",0.0055
"宜蘭縣","宜蘭縣員山鄉","民主進步黨","1","9246",0.5615
"宜蘭縣","宜蘭縣員山鄉","親民黨","2","876",0.0532
"宜蘭縣","宜蘭縣員山鄉","自由台灣黨","3","66",0.004
"宜蘭縣","宜蘭縣員山鄉","和平鴿聯盟黨","4","47",0.0028
"宜蘭縣","宜蘭縣員山鄉","軍公教聯盟黨","5","116",0.007
"宜蘭縣","宜蘭縣員山鄉","民國黨","6","146",0.0088
"宜蘭縣","宜蘭縣員山鄉","信心希望聯盟","7","152",0.0092
"宜蘭縣","宜蘭縣員山鄉","中華統一促進黨","8","51",0.003
"宜蘭縣","宜蘭縣員山鄉","中國國民黨","9","3241",0.1968
"宜蘭縣","宜蘭縣員山鄉","台灣團結聯盟","10","578",0.0351
"宜蘭縣","宜蘭縣員山鄉","時代力量","11","897",0.0544
"宜蘭縣","宜蘭縣員山鄉","大愛憲改聯盟","12","32",0.0019
"宜蘭縣","宜蘭縣員山鄉","綠黨社會民主黨聯盟","13","392",0.0238
"宜蘭縣","宜蘭縣員山鄉","台灣獨立黨","14","55",0.0033
"宜蘭縣","宜蘭縣員山鄉","無黨團結聯盟","15","60",0.0036
"宜蘭縣","宜蘭縣員山鄉","新黨","16","364",0.0221
"宜蘭縣","宜蘭縣員山鄉","健保免費連線","17","63",0.0038
"宜蘭縣","宜蘭縣員山鄉","樹黨","18","84",0.0051
"宜蘭縣","宜蘭縣冬山鄉","民主進步黨","1","15717",0.5626
"宜蘭縣","宜蘭縣冬山鄉","親民黨","2","1408",0.0504
"宜蘭縣","宜蘭縣冬山鄉","自由台灣黨","3","88",0.0031
"宜蘭縣","宜蘭縣冬山鄉","和平鴿聯盟黨","4","81",0.0028
"宜蘭縣","宜蘭縣冬山鄉","軍公教聯盟黨","5","195",0.0069
"宜蘭縣","宜蘭縣冬山鄉","民國黨","6","259",0.0092
"宜蘭縣","宜蘭縣冬山鄉","信心希望聯盟","7","243",0.0086
"宜蘭縣","宜蘭縣冬山鄉","中華統一促進黨","8","113",0.004
"宜蘭縣","宜蘭縣冬山鄉","中國國民黨","9","5109",0.1828
"宜蘭縣","宜蘭縣冬山鄉","台灣團結聯盟","10","830",0.0297
"宜蘭縣","宜蘭縣冬山鄉","時代力量","11","1857",0.0664
"宜蘭縣","宜蘭縣冬山鄉","大愛憲改聯盟","12","46",0.0016
"宜蘭縣","宜蘭縣冬山鄉","綠黨社會民主黨聯盟","13","700",0.025
"宜蘭縣","宜蘭縣冬山鄉","台灣獨立黨","14","84",0.003
"宜蘭縣","宜蘭縣冬山鄉","無黨團結聯盟","15","359",0.0128
"宜蘭縣","宜蘭縣冬山鄉","新黨","16","534",0.0191
"宜蘭縣","宜蘭縣冬山鄉","健保免費連線","17","121",0.0043
"宜蘭縣","宜蘭縣冬山鄉","樹黨","18","191",0.0068
"宜蘭縣","宜蘭縣五結鄉","民主進步黨","1","11706",0.559
"宜蘭縣","宜蘭縣五結鄉","親民黨","2","1091",0.0521
"宜蘭縣","宜蘭縣五結鄉","自由台灣黨","3","71",0.0033
"宜蘭縣","宜蘭縣五結鄉","和平鴿聯盟黨","4","72",0.0034
"宜蘭縣","宜蘭縣五結鄉","軍公教聯盟黨","5","174",0.0083
"宜蘭縣","宜蘭縣五結鄉","民國黨","6","187",0.0089
"宜蘭縣","宜蘭縣五結鄉","信心希望聯盟","7","185",0.0088
"宜蘭縣","宜蘭縣五結鄉","中華統一促進黨","8","84",0.004
"宜蘭縣","宜蘭縣五結鄉","中國國民黨","9","3933",0.1878
"宜蘭縣","宜蘭縣五結鄉","台灣團結聯盟","10","668",0.0319
"宜蘭縣","宜蘭縣五結鄉","時代力量","11","1361",0.065
"宜蘭縣","宜蘭縣五結鄉","大愛憲改聯盟","12","31",0.0014
"宜蘭縣","宜蘭縣五結鄉","綠黨社會民主黨聯盟","13","482",0.023
"宜蘭縣","宜蘭縣五結鄉","台灣獨立黨","14","61",0.0029
"宜蘭縣","宜蘭縣五結鄉","無黨團結聯盟","15","160",0.0076
"宜蘭縣","宜蘭縣五結鄉","新黨","16","443",0.0211
"宜蘭縣","宜蘭縣五結鄉","健保免費連線","17","113",0.0053
"宜蘭縣","宜蘭縣五結鄉","樹黨","18","116",0.0055
"宜蘭縣","宜蘭縣三星鄉","民主進步黨","1","6307",0.5419
"宜蘭縣","宜蘭縣三星鄉","親民黨","2","641",0.055
"宜蘭縣","宜蘭縣三星鄉","自由台灣黨","3","51",0.0043
"宜蘭縣","宜蘭縣三星鄉","和平鴿聯盟黨","4","62",0.0053
"宜蘭縣","宜蘭縣三星鄉","軍公教聯盟黨","5","63",0.0054
"宜蘭縣","宜蘭縣三星鄉","民國黨","6","118",0.0101
"宜蘭縣","宜蘭縣三星鄉","信心希望聯盟","7","85",0.0073
"宜蘭縣","宜蘭縣三星鄉","中華統一促進黨","8","41",0.0035
"宜蘭縣","宜蘭縣三星鄉","中國國民黨","9","2491",0.214
"宜蘭縣","宜蘭縣三星鄉","台灣團結聯盟","10","427",0.0366
"宜蘭縣","宜蘭縣三星鄉","時代力量","11","585",0.0502
"宜蘭縣","宜蘭縣三星鄉","大愛憲改聯盟","12","19",0.0016
"宜蘭縣","宜蘭縣三星鄉","綠黨社會民主黨聯盟","13","244",0.0209
"宜蘭縣","宜蘭縣三星鄉","台灣獨立黨","14","42",0.0036
"宜蘭縣","宜蘭縣三星鄉","無黨團結聯盟","15","78",0.0067
"宜蘭縣","宜蘭縣三星鄉","新黨","16","273",0.0234
"宜蘭縣","宜蘭縣三星鄉","健保免費連線","17","41",0.0035
"宜蘭縣","宜蘭縣三星鄉","樹黨","18","69",0.0059
"宜蘭縣","宜蘭縣大同鄉","民主進步黨","1","427",0.1556
"宜蘭縣","宜蘭縣大同鄉","親民黨","2","570",0.2078
"宜蘭縣","宜蘭縣大同鄉","自由台灣黨","3","7",0.0025
"宜蘭縣","宜蘭縣大同鄉","和平鴿聯盟黨","4","14",0.0051
"宜蘭縣","宜蘭縣大同鄉","軍公教聯盟黨","5","16",0.0058
"宜蘭縣","宜蘭縣大同鄉","民國黨","6","73",0.0266
"宜蘭縣","宜蘭縣大同鄉","信心希望聯盟","7","132",0.0481
"宜蘭縣","宜蘭縣大同鄉","中華統一促進黨","8","13",0.0047
"宜蘭縣","宜蘭縣大同鄉","中國國民黨","9","1231",0.4487
"宜蘭縣","宜蘭縣大同鄉","台灣團結聯盟","10","39",0.0142
"宜蘭縣","宜蘭縣大同鄉","時代力量","11","51",0.0185
"宜蘭縣","宜蘭縣大同鄉","大愛憲改聯盟","12","3",0.001
"宜蘭縣","宜蘭縣大同鄉","綠黨社會民主黨聯盟","13","22",0.008
